win,diff
1,4.16
0,-4.16
1,-2.76
0,2.76
0,2.76
1,-2.41
0,2.41
0,2.41
1,0.92
1,0.92
0,-0.92
1,-1.39
0,1.39
0,1.39
1,0.47
1,0.47
0,-0.47
1,-0.11
0,0.11
0,0.11
1,1.66
1,1.66
0,-1.66
1,2.25
1,2.25
0,-2.25
1,1.41
1,1.41
0,-1.41
1,-0.69
0,0.69
0,0.69
1,0.19
1,0.19
0,-0.19
1,-0.53
0,0.53
0,0.53
1,0.78
1,0.78
0,-0.78
1,2.19
1,2.19
0,-2.19
1,3.96
1,3.96
0,-3.96
1,0.35
1,0.35
0,-0.35
1,0.55
1,0.55
0,-0.55
1,2.17
1,2.17
0,-2.17
1,-0.15
0,0.15
0,0.15
1,-0.14
0,0.14
0,0.14
1,-1.03
0,1.03
0,1.03
1,1.02
1,1.02
0,-1.02
1,1.15
1,1.15
0,-1.15
1,-0.23
0,0.23
0,0.23
1,1.56
1,1.56
0,-1.56
1,0.54
1,0.54
0,-0.54
1,-1.61
0,1.61
0,1.61
1,1.78
1,1.78
0,-1.78
1,0.5
1,0.5
0,-0.5
1,1.75
1,1.75
0,-1.75
1,0.11
1,0.11
0,-0.11
1,0.89
1,0.89
0,-0.89
1,-0.08
0,0.08
0,0.08
1,0.24
1,0.24
0,-0.24
1,1.7
1,1.7
0,-1.7
1,-1.04
0,1.04
0,1.04
1,-0.84
0,0.84
0,0.84
1,0.34
1,0.34
0,-0.34
1,-1.55
0,1.55
0,1.55
1,0.39
1,0.39
0,-0.39
1,0.97
1,0.97
0,-0.97
1,1.41
1,1.41
0,-1.41
1,1.28
1,1.28
0,-1.28
1,0.55
1,0.55
0,-0.55
1,-1.61
0,1.61
0,1.61
1,1.46
1,1.46
0,-1.46
1,-0.92
0,0.92
0,0.92
1,0.59
1,0.59
0,-0.59
1,1.04
1,1.04
0,-1.04
1,1.39
1,1.39
0,-1.39
1,-1.55
0,1.55
0,1.55
1,-0.39
0,0.39
0,0.39
1,1.62
1,1.62
0,-1.62
